--- scanner 0 ---
-779,774,841
-623,687,-622
-569,692,-472
-815,791,890
545,-807,-699
655,564,594
-781,645,919
561,908,-538
-453,-675,694
-885,-565,-404
596,-595,-679
464,-620,445
481,-658,-759
-574,-702,800
-145,151,93
-814,-575,-354
-611,653,-643
532,950,-506
-475,-638,816
403,-510,477
736,559,518
-17,7,140
-861,-741,-321
513,-554,586
518,512,519
549,924,-562

--- scanner 1 ---
689,772,-758
537,371,685
-672,-658,689
123,51,-21
-401,435,-501
12,-98,95
735,588,-720
844,-573,-785
-423,-889,-362
-816,-649,595
655,605,-727
785,-703,-813
536,-624,720
-360,-902,-383
-432,400,599
-689,-669,583
625,506,710
455,445,698
650,-556,751
747,-531,-750
-346,-875,-402
-417,420,420
-501,413,-386
490,-584,661
-499,374,505
-449,476,-453

--- scanner 2 ---
663,667,-407
-595,-818,-576
-309,605,562
-598,-610,-587
-517,-586,691
46,-151,22
-881,281,-669
732,-947,-380
587,624,746
-55,-3,100
-458,-497,709
593,687,-248
572,498,738
694,-939,-344
401,-634,682
-847,239,-653
397,-527,600
-610,-743,-467
-474,659,598
-414,-596,646
657,542,-317
-397,630,676
378,-659,657
-848,236,-666
514,509,638
753,-870,-512

--- scanner 3 ---
438,673,-607
-400,-430,341
-795,-514,-738
-705,-416,-761
760,-806,792
-469,803,349
670,-798,675
363,648,-428
-349,-447,506
-425,412,-482
520,455,660
452,-616,-878
553,372,771
24,68,-59
654,413,728
-464,-413,481
-404,598,-552
-459,781,522
538,-597,-851
-346,488,-476
420,-481,-842
-470,896,540
651,-822,721
421,522,-506
-690,-511,-769

--- scanner 4 ---
844,592,402
-636,679,516
-720,-400,911
-509,-714,-788
-826,755,-326
39,-121,70
661,741,-539
727,636,527
869,-741,-241
742,-762,619
-703,-565,962
725,-852,686
-639,710,621
829,579,592
654,730,-279
-737,-540,847
-734,702,606
-487,-705,-778
799,-689,-246
-754,837,-380
854,-715,-315
754,-648,701
-615,725,-335
-628,-713,-672
736,727,-443

--- scanner 5 ---
-405,590,-366
-409,651,-375
439,489,371
-542,-507,536
-367,404,-381
299,-367,848
-670,-452,-700
-49,132,11
340,-226,895
478,-800,-337
613,500,-723
279,-348,939
-558,-502,654
390,411,415
366,500,429
400,-731,-350
-612,-578,-728
629,662,-720
-522,-490,-688
-453,406,393
-679,460,405
-652,411,356
-532,-505,547
707,591,-772
635,-703,-379

--- scanner 6 ---
539,-841,504
743,731,-445
-822,-423,673
-770,-492,627
-762,805,536
622,783,749
-757,320,-629
710,684,-611
393,-892,456
-769,705,691
365,-675,-379
-831,401,-736
561,779,740
-815,623,585
385,-726,-591
305,-611,-528
-26,-6,-67
-690,441,-682
-830,-855,-756
-707,-427,667
808,821,734
660,755,-621
444,-961,435
-831,-858,-732
-873,-889,-537
-116,-144,21

--- scanner 7 ---
620,-673,-810
601,-454,-802
-496,543,-614
-596,554,-672
963,-487,692
-701,-396,401
808,816,748
638,-546,-875
887,-534,765
-604,428,-687
916,-611,754
-456,393,374
-554,-588,-462
549,385,-763
-420,447,209
-784,-504,377
811,771,781
-510,-687,-472
-725,-524,511
459,510,-757
795,813,747
71,-145,-43
390,365,-693
-534,422,297
-565,-706,-544
122,13,-148

--- scanner 8 ---
300,838,-511
723,-429,-827
-489,-531,-733
-862,690,478
272,779,-641
365,729,650
-749,-606,618
-412,-399,-712
-420,-363,-674
-763,627,434
584,-407,497
-725,663,-381
702,-366,-840
358,649,667
-832,581,-377
683,-352,-813
-773,672,537
699,-507,475
-616,-486,630
-700,638,-358
327,683,834
632,-455,538
335,741,-469
-541,-595,615
-76,130,123

--- scanner 9 ---
643,-906,-639
554,-930,-576
-438,-780,848
885,648,-659
-617,748,624
708,-887,-479
562,675,352
513,-416,680
-551,607,575
867,701,-509
567,599,433
-593,592,-482
533,-475,546
-618,-692,-723
-629,538,-371
928,733,-581
116,-32,-131
405,-499,656
515,674,570
-629,-736,-551
71,-144,33
-384,-744,683
-655,512,-481
-658,-823,-634
-413,-666,760
-507,716,685

--- scanner 10 ---
392,400,680
715,-577,488
872,575,-780
-527,-916,-745
-756,759,-452
-341,-954,-730
360,461,570
553,-799,-423
-489,-888,625
731,-478,552
-844,478,532
609,-456,515
777,572,-702
-439,-817,615
